Date,Open,High,Low,Close,Adj Close,Volume
2021-08-20,745.799988,749.000000,736.200012,740.250000,737.607483,6092036
2021-08-23,749.500000,749.500000,734.400024,736.099976,733.472229,3614761
2021-08-24,736.000000,749.700012,731.500000,746.349976,743.685669,4537435
2021-08-25,748.200012,751.450012,735.200012,739.049988,736.411743,6726509
2021-08-26,734.099976,750.000000,732.349976,746.349976,743.685669,6492155
2021-08-27,746.500000,759.599976,741.000000,752.400024,749.714111,5841967
2021-08-30,756.000000,789.500000,754.000000,784.049988,781.251099,12517507
2021-08-31,784.900024,789.000000,778.400024,786.500000,783.692383,12114870
2021-09-01,798.099976,819.000000,795.400024,798.900024,796.048096,19972195
2021-09-02,795.500000,806.099976,792.400024,802.700012,799.834595,6799617
2021-09-03,804.500000,809.900024,787.700012,798.000000,795.151367,7509746
2021-09-06,800.849976,805.900024,795.349976,800.799988,797.941284,4539192
2021-09-07,798.000000,799.400024,782.049988,787.849976,785.037476,6926921
2021-09-08,790.000000,797.349976,783.000000,794.700012,791.863098,5903035
2021-09-09,789.000000,793.700012,784.200012,790.150024,787.329346,4909325
2021-09-13,786.000000,790.450012,783.500000,788.349976,785.535767,4814443
2021-09-14,791.000000,801.000000,790.000000,794.400024,791.564148,6301208
2021-09-15,796.000000,797.450012,787.000000,791.400024,788.574890,4075592
2021-09-16,792.500000,807.450012,789.099976,802.599976,799.734863,15446511
2021-09-17,808.849976,820.700012,797.250000,807.349976,804.467896,14641298
2021-09-20,800.000000,808.549988,791.500000,795.849976,793.008972,6306484
2021-09-21,795.250000,799.000000,772.299988,795.349976,792.510742,7833561
2021-09-22,792.500000,796.799988,786.000000,788.349976,785.535767,4359142
2021-09-23,794.349976,814.500000,792.549988,812.150024,809.250793,9043492
2021-09-24,812.549988,816.950012,795.099976,798.049988,795.201111,5184626
2021-09-27,802.900024,808.799988,792.799988,796.950012,794.105042,7715259
2021-09-28,802.000000,805.599976,778.000000,789.200012,786.382751,7369680
2021-09-29,783.000000,789.500000,778.500000,782.150024,779.357910,14241004
2021-09-30,779.900024,787.349976,764.849976,766.549988,763.813538,9178187
2021-10-01,763.400024,771.700012,754.000000,768.150024,765.407898,6089895
2021-10-04,771.099976,781.150024,770.299988,779.000000,776.219177,5845527
2021-10-05,774.400024,784.000000,771.200012,782.599976,779.806274,3945224
2021-10-06,782.250000,794.200012,776.000000,778.950012,776.169373,5092479
2021-10-07,790.000000,790.150024,774.099976,777.099976,774.325867,6622698
2021-10-08,781.900024,785.000000,776.000000,781.950012,779.158630,4295686
2021-10-11,782.000000,793.000000,779.000000,787.150024,784.340088,4417455
2021-10-12,788.000000,799.700012,785.450012,797.150024,794.304382,5098502
2021-10-13,799.950012,804.500000,793.200012,794.599976,791.763428,4381414
2021-10-14,799.000000,804.000000,788.000000,802.049988,799.186829,7157116
2021-10-18,820.000000,820.000000,802.049988,813.299988,810.396729,11014585
2021-10-19,820.000000,827.000000,798.500000,801.650024,798.788330,10633732
2021-10-20,800.599976,813.799988,792.000000,804.799988,801.927063,9023067
2021-10-21,807.950012,813.500000,792.299988,807.799988,804.916382,7405639
2021-10-22,812.000000,825.000000,806.799988,816.700012,813.784546,10646970
2021-10-25,830.099976,866.900024,825.450012,845.099976,842.083130,29193770
2021-10-26,848.400024,851.650024,823.500000,841.900024,838.894653,16771909
2021-10-27,840.000000,840.799988,785.650024,787.500000,784.688782,39606414
2021-10-28,787.500000,789.000000,754.650024,758.349976,755.642822,19320926
2021-10-29,762.000000,762.000000,714.000000,742.000000,739.351196,21343427
2021-11-01,755.000000,760.000000,740.000000,752.349976,749.664185,11694854
2021-11-02,752.500000,761.349976,748.049988,755.849976,753.151733,11812106
2021-11-03,759.450012,762.650024,748.500000,750.599976,747.920471,10529505
2021-11-04,757.000000,757.049988,751.400024,752.950012,750.262146,793433
2021-11-08,761.000000,761.000000,741.500000,751.049988,748.368896,13872770
2021-11-09,750.000000,753.950012,743.349976,745.049988,742.390320,12120207
2021-11-10,742.700012,753.349976,732.000000,749.349976,746.674927,10844883
2021-11-11,748.000000,748.000000,735.099976,738.049988,735.415344,6195359
2021-11-12,742.799988,742.799988,733.500000,736.049988,733.422424,9372897
2021-11-15,738.000000,744.000000,728.000000,733.250000,730.632446,12849161
2021-11-16,733.250000,733.299988,721.299988,726.150024,723.557800,8978763
2021-11-17,721.000000,724.900024,706.750000,712.349976,709.807068,18083445
2021-11-18,715.000000,716.000000,701.900024,706.349976,703.828430,13458109
2021-11-22,713.000000,713.000000,677.400024,686.400024,683.949768,16741079
2021-11-23,681.000000,692.650024,677.349976,685.650024,683.202393,16575348
2021-11-24,690.000000,695.099976,682.049988,685.150024,682.704224,11463429
2021-11-25,686.000000,687.000000,676.549988,679.900024,677.472900,9760486
2021-11-26,669.000000,674.900024,660.450012,661.750000,659.387695,10252753
2021-11-29,665.049988,665.450012,649.349976,651.099976,648.775696,12084376
2021-11-30,648.000000,677.450012,648.000000,655.650024,653.309509,24699809
2021-12-01,664.900024,681.400024,660.000000,679.599976,677.173950,16184200
2021-12-02,675.000000,678.799988,668.049988,676.099976,673.686462,8612601
2021-12-03,679.099976,687.349976,671.000000,673.000000,670.597534,9505985
2021-12-06,674.000000,678.750000,661.150024,663.099976,660.732910,8022785
2021-12-07,672.000000,691.549988,670.000000,687.000000,684.547546,15123987
2021-12-08,695.000000,701.549988,687.650024,697.099976,694.611511,11670826
2021-12-09,698.150024,699.900024,688.000000,693.950012,691.472778,7021395
2021-12-10,690.099976,691.950012,683.750000,688.049988,685.593872,5549743
2021-12-13,699.000000,711.900024,693.099976,704.000000,701.486877,13634563
2021-12-14,701.000000,714.000000,697.599976,710.900024,708.362244,8612512
2021-12-15,712.400024,720.000000,707.549988,712.500000,709.956543,7692888
2021-12-16,719.000000,721.950012,705.049988,709.650024,707.116699,7309187
2021-12-17,707.500000,708.000000,685.099976,688.900024,686.440735,7844705
2021-12-20,680.950012,681.849976,660.099976,674.349976,671.942688,9934646
2021-12-21,683.000000,683.000000,662.500000,665.849976,663.473022,10116104
2021-12-22,670.000000,676.849976,664.000000,669.349976,666.960510,7489534
2021-12-23,677.000000,684.500000,672.599976,678.799988,676.376831,6884683
2021-12-24,681.150024,682.000000,662.450012,667.500000,665.117126,6028893
2021-12-27,663.049988,674.599976,655.950012,672.150024,669.750671,6996729
2021-12-28,677.299988,680.849976,672.000000,675.450012,673.038818,4645547
2021-12-29,674.500000,679.599976,667.250000,670.500000,668.106445,3969894
2021-12-30,668.000000,673.099976,664.500000,668.849976,666.462341,5119705
2021-12-31,672.950012,686.500000,671.200012,678.549988,676.127686,5586980
2022-01-03,680.250000,698.500000,679.000000,696.349976,693.864136,8550860
2022-01-04,701.000000,711.049988,700.049988,709.150024,706.618530,9705906
2022-01-05,711.900024,730.900024,707.750000,726.900024,724.305176,11312955
2022-01-06,719.950012,733.500000,719.000000,730.299988,727.692993,7955578
2022-01-07,734.000000,740.900024,725.250000,730.599976,727.991882,10454143
2022-01-10,733.650024,744.000000,733.200012,742.799988,740.148376,9595787
2022-01-11,742.900024,747.049988,737.299988,743.250000,740.596741,7252279
2022-01-12,749.650024,751.450012,743.150024,746.849976,744.183838,5294563
2022-01-13,749.000000,749.000000,737.049988,740.700012,738.055908,5196538
2022-01-14,734.799988,735.950012,716.049988,721.700012,719.123718,16302342
2022-01-17,719.000000,720.599976,709.500000,712.650024,710.106018,19680557
2022-01-18,717.500000,735.900024,714.250000,725.200012,722.611206,24055886
2022-01-19,725.200012,731.950012,718.700012,729.599976,726.995483,7746270
2022-01-20,731.049988,737.150024,722.150024,728.900024,726.297974,8505400
2022-01-21,722.000000,725.250000,708.049988,712.500000,709.956543,10689060
2022-01-24,715.000000,716.400024,688.200012,704.599976,702.084717,8812501
2022-01-25,714.000000,755.000000,708.599976,752.200012,749.514832,38088158
2022-01-27,744.000000,777.000000,738.099976,773.849976,771.087524,34927774
2022-01-28,778.099976,784.700012,761.500000,764.700012,761.970215,17765524
2022-01-31,775.450012,777.799988,762.349976,773.049988,770.290344,12319200
2022-02-01,778.099976,793.900024,769.099976,781.900024,779.108826,15457534
2022-02-02,790.000000,805.900024,787.349976,804.099976,801.229492,13478899
2022-02-03,802.200012,811.900024,793.049988,799.549988,796.695740,10802708
2022-02-04,796.950012,804.500000,791.150024,798.549988,795.699341,10776387
2022-02-07,802.500000,803.599976,784.099976,789.599976,786.781311,10939179
2022-02-08,794.000000,801.000000,776.150024,798.549988,795.699341,12300670
2022-02-09,801.000000,809.500000,800.150024,803.849976,800.980408,9399830
2022-02-10,807.549988,815.950012,803.099976,809.799988,806.909180,12848281
2022-02-11,800.950012,809.900024,798.500000,803.799988,800.930542,9717894
2022-02-14,790.000000,803.000000,769.950012,773.349976,770.589294,8617389
2022-02-15,777.000000,799.099976,764.299988,796.950012,794.105042,7426563
2022-02-16,795.000000,808.299988,789.299988,797.049988,794.204712,7457765
2022-02-17,797.000000,802.000000,780.500000,782.799988,780.005554,6516308
2022-02-18,781.150024,790.549988,779.000000,787.400024,784.589233,5466662
2022-02-21,783.549988,796.799988,776.099976,788.849976,786.033997,5635224
2022-02-22,766.099976,787.000000,766.099976,779.150024,776.368591,6923558
2022-02-23,783.500000,785.500000,772.250000,777.200012,774.425598,6303173
